Business Service;FlowRelationship;Business Process
Business Service;AssociationRelationship;Business Process
Business Service;TriggeringRelationship;Business Process
Business Service;ServingRelationship;Business Process
Business Service;FlowRelationship;Business Function
Business Service;AssociationRelationship;Business Function
Business Service;TriggeringRelationship;Business Function
Business Service;ServingRelationship;Business Function
Business Service;FlowRelationship;Business Interaction
Business Service;AssociationRelationship;Business Interaction
Business Service;TriggeringRelationship;Business Interaction
Business Service;ServingRelationship;Business Interaction
Business Service;FlowRelationship;Business Event
Business Service;AssociationRelationship;Business Event
Business Service;TriggeringRelationship;Business Event
Business Service;ServingRelationship;Business Event
Business Service;CompositionRelationship;Business Service
Business Service;FlowRelationship;Business Service
Business Service;AggregationRelationship;Business Service
Business Service;AssociationRelationship;Business Service
Business Service;SpecializationRelationship;Business Service
Business Service;TriggeringRelationship;Business Service
Business Service;ServingRelationship;Business Service
Business Service;AccessRelationship;Business Object
Business Service;AssociationRelationship;Business Object
Business Service;AccessRelationship;Representation
Business Service;AssociationRelationship;Representation
Business Service;FlowRelationship;Business Role 
Business Service;AssociationRelationship;Business Role 
Business Service;TriggeringRelationship;Business Role 
Business Service;ServingRelationship;Business Role 
Business Service;FlowRelationship;Business Actor 
Business Service;AssociationRelationship;Business Actor 
Business Service;TriggeringRelationship;Business Actor 
Business Service;ServingRelationship;Business Actor 
Business Service;FlowRelationship;Business Collabration
Business Service;AssociationRelationship;Business Collabration
Business Service;TriggeringRelationship;Business Collabration
Business Service;ServingRelationship;Business Collabration
Business Interface ;FlowRelationship;Business Service
Business Interface ;AssignmentRelationship;Business Service
Business Interface ;AssociationRelationship;Business Service
Business Interface ;TriggeringRelationship;Business Service
Business Interface ;ServingRelationship;Business Service
Business Interface ;FlowRelationship;Business Role 
Business Interface ;AssociationRelationship;Business Role 
Business Interface ;TriggeringRelationship;Business Role 
Business Interface ;ServingRelationship;Business Role 
Business Interface ;FlowRelationship;Business Actor 
Business Interface ;AssociationRelationship;Business Actor 
Business Interface ;TriggeringRelationship;Business Actor 
Business Interface ;ServingRelationship;Business Actor 
Business Interface ;FlowRelationship;Business Collaboration
Business Interface ;AssociationRelationship;Business Collaboration
Business Interface ;TriggeringRelationship;Business Collaboration
Business Interface ;ServingRelationship;Business Collaboration
Business Role;CompositionRelationship;Business Interface
Business Role;FlowRelationship;Business Interface
Business Role;AggregationRelationship;Business Interface
Business Role;AssignmentRelationship;Business Interface
Business Role;AssociationRelationship;Business Interface
Business Role;TriggeringRelationship;Business Interface
Business Role;ServingRelationship;Business Interface
Business Role;FlowRelationship;Business Process
Business Role;AssignmentRelationship;Business Process
Business Role;AssociationRelationship;Business Process
Business Role;TriggeringRelationship;Business Process
Business Role;ServingRelationship;Business Process
Business Role;FlowRelationship;Business Function
Business Role;AssignmentRelationship;Business Function
Business Role;AssociationRelationship;Business Function
Business Role;TriggeringRelationship;Business Function
Business Role;ServingRelationship;Business Function
Business Role;FlowRelationship;Business Interaction
Business Role;AssignmentRelationship;Business Interaction
Business Role;AssociationRelationship;Business Interaction
Business Role;TriggeringRelationship;Business Interaction
Business Role;ServingRelationship;Business Interaction
Business Role;Unknown notation;Business Interaction
Business Role;FlowRelationship;Business Event
Business Role;AssignmentRelationship;Business Event
Business Role;AssociationRelationship;Business Event
Business Role;TriggeringRelationship;Business Event
Business Role;ServingRelationship;Business Event
Business Role;Unknown notation;Business Event
Business Actor ;CompositionRelationship;Business Interface
Business Actor ;FlowRelationship;Business Interface
Business Actor ;AggregationRelationship;Business Interface
Business Actor ;AssignmentRelationship;Business Interface
Business Actor ;AssociationRelationship;Business Interface
Business Actor ;TriggeringRelationship;Business Interface
Business Actor ;ServingRelationship;Business Interface
Business Actor ;FlowRelationship;Business Process
Business Actor ;AssignmentRelationship;Business Process
Business Actor ;AssociationRelationship;Business Process
Business Actor ;TriggeringRelationship;Business Process
Business Actor ;ServingRelationship;Business Process
Business Actor ;FlowRelationship;Business Function
Business Actor ;AssignmentRelationship;Business Function
Business Actor ;AssociationRelationship;Business Function
Business Actor ;TriggeringRelationship;Business Function
Business Actor ;ServingRelationship;Business Function
Business Actor ;FlowRelationship;Business Interaction
Business Actor ;AssignmentRelationship;Business Interaction
Business Actor ;AssociationRelationship;Business Interaction
Business Actor ;TriggeringRelationship;Business Interaction
Business Actor ;ServingRelationship;Business Interaction
Business Actor ;Unknown notation;Business Interaction
Business Actor ;FlowRelationship;Business Event
Business Actor ;AssignmentRelationship;Business Event
Business Actor ;AssociationRelationship;Business Event
Business Actor ;TriggeringRelationship;Business Event
Business Actor ;ServingRelationship;Business Event
Business Actor ;Unknown notation;Business Event
Business Collaboration;CompositionRelationship;Business Interface
Business Collaboration;FlowRelationship;Business Interface
Business Collaboration;AggregationRelationship;Business Interface
Business Collaboration;AssignmentRelationship;Business Interface
Business Collaboration;AssociationRelationship;Business Interface
Business Collaboration;TriggeringRelationship;Business Interface
Business Collaboration;ServingRelationship;Business Interface
Business Collaboration;FlowRelationship;Business Process
Business Collaboration;AssignmentRelationship;Business Process
Business Collaboration;AssociationRelationship;Business Process
Business Collaboration;TriggeringRelationship;Business Process
Business Collaboration;ServingRelationship;Business Process
